{i}, {x_center}, {y_center}, {width}, {height}, {confidence_i_found_a_thing}, {confidence_its_a_face},
2347, 20.24022, 26.74074, 35.26024, 42.46455, 51.483, 59.27539,
2348, 68.56414, 76.70078, 83.86952, 91.95676, 101.2143, 108.9844,
2349, 115.1241, 123.9527, 132.1911, 140.6565, 148.8344, 156.0823,
2350, 165.1667, 172.87, 180.4152, 189.2196, 197.0627, 205.2731,
2351, 211.5232, 219.2485, 230.1742, 239.6024, 246.2569, 252.7181,
2352, 260.4839, 267.2779, 275.0966, 281.3526, 287.5464, 296.3856,
2353, 305.4644, 315.4272, 322.4583, 330.5642, 339.8867, 347.1105,
2354, 357.5106, 365.6472, 375.4096, 377.6488, 385.432, 393.1399,
2355, 402.9491, 410.4878, 418.7374, 429.0981, 435.431, 440.2767,
2356, 447.7144, 457.0155, 463.9858, 472.8503, 482.5632, 491.3858,
2357, 498.1596, 506.7887, 516.8638, 525.6606, 530.4326, 541.0895,
2358, 544.0766, 552.8246, 566.1149, 575.19, 583.7308, 587.7954,
2359, 597.7202, 601.2656, 609.2733, 618.3664, 630.3921, 637.1708,
2360, 5.078517, 12.36877, 20.41232, 26.35424, 35.22057, 42.91381,
2361, 51.75878, 58.94507, 68.2192, 75.98309, 84.08675, 92.27934,
2362, 100.8816, 108.2935, 115.0819, 123.7838, 131.1898, 140.109,
2363, 148.6576, 156.1255, 164.5394, 172.3064, 180.607, 189.1208,
2364, 197.148, 204.3668, 212.0116, 222.5636, 230.4378, 238.8581,
2365, 246.1928, 252.6871, 259.9738, 267.3781, 274.7836, 281.3704,
2366, 287.6437, 296.2621, 305.6587, 314.2482, 322.5531, 332.2199,
2367, 340.1224, 346.0109, 358.4006, 365.7361, 372.5278, 378.7132,
2368, 383.7222, 392.797, 402.1008, 410.2417, 418.7333, 428.5276,
2369, 435.7985, 440.5391, 447.682, 456.7793, 463.2128, 472.5549,
2370, 483.8168, 491.272, 498.923, 506.5321, 516.9166, 524.8098,
2371, 530.4338, 543.2571, 545.0307, 552.9458, 566.1092, 573.3385,
2372, 581.7819, 588.2568, 597.48, 602.2928, 609.1138, 620.0218,
2373, 630.262, 635.0108, 4.841368, 11.50631, 20.20765, 27.78311,
2374, 35.32411, 44.02332, 52.45971, 59.46223, 69.35404, 77.40735,
2375, 84.64243, 93.05056, 101.9789, 109.218, 115.9634, 123.8633,
2376, 131.5125, 140.715, 148.5385, 155.9527, 164.4268, 172.1771,
2377, 179.8461, 188.9363, 196.4959, 203.2293, 211.0681, 222.9399,
2378, 230.681, 238.4515, 245.6816, 252.8067, 260.714, 267.7256,
2379, 274.7785, 282.4358, 288.2784, 296.0978, 306.0008, 313.8332,
2380, 321.4521, 331.3707, 339.4423, 346.3826, 359.1084, 367.3528,
2381, 371.9591, 379.3688, 384.6461, 392.6356, 400.2551, 410.5936,
2382, 419.3542, 425.9812, 434.2644, 440.3662, 447.735, 456.5312,
2383, 462.605, 472.0713, 481.9891, 490.2585, 499.6826, 506.9766,
2384, 517.0625, 522.5187, 528.9326, 542.8539, 547.1245, 556.1701,
2385, 565.3599, 572.5865, 580.0318, 585.9221, 597.8211, 604.8807,
2386, 610.1501, 620.8901, 629.6429, 636.2058, 4.645801, 12.64718,
2387, 19.16498, 28.09539, 34.93713, 42.88741, 52.31174, 58.92574,
2388, 68.18439, 76.63113, 84.09754, 92.86064, 101.2385, 108.6708,
2389, 115.8376, 124.231, 131.6753, 140.6009, 148.9079, 156.3479,
2390, 164.8614, 172.8526, 180.6547, 189.6011, 196.9451, 202.5581,
2391, 210.7484, 222.109, 230.7918, 237.9605, 245.0542, 253.335,
2392, 261.484, 267.6576, 275.0679, 283.1029, 289.1838, 296.9402,
2393, 305.5153, 312.5086, 321.3835, 329.9053, 339.894, 348.3128,
2394, 356.638, 367.021, 370.8528, 379.1511, 387.6498, 393.3981,
